Date,Open,High,Low,Close
2020-01-01,0.70189,0.70210,0.69813,0.70195
2019-12-31,0.70151,0.70450,0.70151,0.70170
2019-12-30,0.70029,0.70327,0.69998,0.70014
2019-12-29,0.69839,0.70070,0.69839,0.69830
2019-12-26,0.69480,0.69860,0.69437,0.69464
2019-12-25,0.69280,0.69420,0.69219,0.69247
2019-12-24,0.69228,0.69271,0.69161,0.69219
2019-12-23,0.69258,0.69320,0.69131,0.69252
2019-12-22,0.69062,0.69310,0.68978,0.69039
2019-12-19,0.68904,0.69080,0.68856,0.68930
2019-12-18,0.68555,0.68881,0.68544,0.68547
2019-12-17,0.68520,0.68650,0.68402,0.68526
2019-12-16,0.68751,0.68800,0.68389,0.68743
2019-12-15,0.68752,0.69000,0.68695,0.68748
2019-12-12,0.69252,0.69300,0.68653,0.69271
2019-12-11,0.68706,0.69088,0.68706,0.68705
2019-12-10,0.68129,0.68690,0.68052,0.68114
2019-12-09,0.68270,0.68390,0.68009,0.68280
2019-12-08,0.68354,0.68380,0.68208,0.68353
2019-12-05,0.68344,0.68573,0.68243,0.68330
2019-12-04,0.68491,0.68554,0.68214,0.68496
2019-12-03,0.68503,0.68570,0.68142,0.68487
2019-12-02,0.68175,0.68630,0.68166,0.68188
2019-12-01,0.67649,0.68240,0.67648,0.67648
2019-11-28,0.67687,0.67810,0.67559,0.67690
2019-11-27,0.67691,0.67750,0.67623,0.67672
2019-11-26,0.67875,0.67930,0.67724,0.67890
2019-11-25,0.67767,0.67933,0.67725,0.67764
2019-11-24,0.67920,0.68010,0.67686,0.67920
2019-11-21,0.67882,0.68035,0.67818,0.67894
2019-11-20,0.67995,0.68141,0.67870,0.67990
2019-11-19,0.68259,0.68330,0.67967,0.68249
2019-11-18,0.68052,0.68331,0.67860,0.68052
2019-11-17,0.68153,0.68240,0.67991,0.68160
2019-11-14,0.67873,0.68170,0.67815,0.67883
2019-11-13,0.68398,0.68415,0.67704,0.68395
2019-11-12,0.68418,0.68560,0.68221,0.68440
2019-11-11,0.68486,0.68590,0.68323,0.68502
2019-11-10,0.68591,0.68660,0.68478,0.68580
2019-11-07,0.68658,0.68690,0.68486,0.68610
2019-11-06,0.68795,0.69130,0.68626,0.68773
2019-11-05,0.68897,0.69100,0.68767,0.68908
2019-11-04,0.68871,0.69290,0.68788,0.68903
2019-11-03,0.69166,0.69270,0.68948,0.69180
2019-10-31,0.68935,0.69206,0.68845,0.68930
2019-10-30,0.69013,0.69320,0.68891,0.68979
2019-10-29,0.68571,0.68780,0.68500,0.68559
2019-10-28,0.68398,0.68730,0.68398,0.68396
2019-10-27,0.68225,0.68398,0.68116,0.68240
2019-10-24,0.68174,0.68362,0.68110,0.68166
2019-10-23,0.68503,0.68600,0.68138,0.68503
2019-10-22,0.68606,0.68630,0.68346,0.68613
2019-10-21,0.68707,0.68837,0.68510,0.68706
2019-10-20,0.68487,0.68830,0.68487,0.68477
2019-10-17,0.68270,0.68530,0.68240,0.68255
2019-10-16,0.67547,0.68360,0.67544,0.67564
