Date,Open,High,Low,Close
2020-12-31,1.21728,1.22170,1.21350,1.21803
2020-12-30,1.22991,1.23095,1.22230,1.22999
2020-12-29,1.22532,1.23087,1.22521,1.22530
2020-12-28,1.22200,1.22760,1.22200,1.22235
2020-12-27,1.22070,1.22520,1.21835,1.22051
2020-12-24,1.21847,1.22130,1.21670,1.21847
2020-12-23,1.21939,1.22175,1.21794,1.21914
2020-12-22,1.21859,1.22194,1.21578,1.21867
2020-12-21,1.22384,1.22590,1.21660,1.22369
2020-12-20,1.22106,1.22347,1.21308,1.22161
2020-12-17,1.22620,1.22684,1.22272,1.22627
2020-12-16,1.21971,1.22630,1.21924,1.21996
2020-12-15,1.21538,1.22130,1.21470,1.21543
2020-12-14,1.21487,1.21665,1.21270,1.21489
2020-12-13,1.21336,1.21740,1.21175,1.21334
2020-12-10,1.21434,1.21640,1.21079,1.21443
2020-12-09,1.20817,1.21581,1.20804,1.20788
2020-12-08,1.21099,1.21490,1.20739,1.21109
2020-12-07,1.21095,1.21342,1.20972,1.21131
2020-12-06,1.21206,1.21635,1.20808,1.21214
2020-12-03,1.21453,1.21778,1.21337,1.21456
2020-12-02,1.21134,1.21750,1.21024,1.21146
2020-12-01,1.20699,1.21074,1.20408,1.20744
2020-11-30,1.19377,1.20536,1.19360,1.19382
2020-11-29,1.19707,1.20021,1.19442,1.19715
2020-11-26,1.19118,1.19619,1.19107,1.19160
2020-11-25,1.19175,1.19410,1.18869,1.19200
2020-11-24,1.19005,1.19280,1.18828,1.19005
2020-11-23,1.18418,1.18939,1.18389,1.18427
2020-11-22,1.18653,1.19059,1.18032,1.18665
2020-11-19,1.18675,1.18909,1.18518,1.18665
2020-11-18,1.18429,1.18554,1.18174,1.18476
2020-11-17,1.18644,1.18910,1.18511,1.18637
2020-11-16,1.18597,1.18927,1.18455,1.18594
2020-11-15,1.18443,1.18687,1.18147,1.18453
2020-11-12,1.18053,1.18339,1.17997,1.18034
2020-11-11,1.17787,1.18230,1.17596,1.17803
2020-11-10,1.18196,1.18329,1.17473,1.18188
2020-11-09,1.18233,1.18436,1.17808,1.18273
2020-11-08,1.18931,1.19192,1.17975,1.18930
2020-11-05,1.18142,1.18906,1.17962,1.18175
2020-11-04,1.17299,1.18568,1.17128,1.17327
2020-11-03,1.17646,1.17689,1.16077,1.17622
2020-11-02,1.16428,1.17420,1.16381,1.16428
2020-11-01,1.16425,1.16570,1.16244,1.16421
2020-10-29,1.16768,1.17034,1.16431,1.16787
2020-10-28,1.17474,1.17592,1.16562,1.17487
2020-10-27,1.17816,1.17883,1.17193,1.17841
2020-10-26,1.18094,1.18380,1.17994,1.18094
2020-10-25,1.18483,1.18510,1.18040,1.18485
2020-10-22,1.18141,1.18596,1.17880,1.18150
2020-10-21,1.18513,1.18694,1.18134,1.18540
2020-10-20,1.18293,1.18821,1.18293,1.18298
2020-10-19,1.17680,1.18399,1.17626,1.17689
2020-10-18,1.17156,1.17952,1.17049,1.17155
2020-10-15,1.17058,1.17467,1.16949,1.17071
2020-10-14,1.17476,1.17606,1.16902,1.17440
2020-10-13,1.17440,1.17702,1.17217,1.17422
2020-10-12,1.18142,1.18142,1.17357,1.18161
2020-10-11,1.18134,1.18273,1.17880,1.18168
2020-10-08,1.17671,1.18245,1.17588,1.17670
2020-10-07,1.17655,1.17813,1.17353,1.17675
2020-10-06,1.17374,1.17814,1.17254,1.17376
2020-10-05,1.17883,1.18074,1.17673,1.17925
2020-10-04,1.17220,1.17966,1.17193,1.17204
2020-10-01,1.17441,1.17470,1.16971,1.17450
2020-09-30,1.17237,1.17670,1.17181,1.17261
2020-09-29,1.17427,1.17564,1.16861,1.17420
2020-09-28,1.16777,1.17416,1.16666,1.16788
2020-09-27,1.16351,1.16796,1.16167,1.16353
2020-09-24,1.16736,1.16851,1.16135,1.16732
2020-09-23,1.16619,1.16810,1.16297,1.16585
2020-09-22,1.17075,1.17200,1.16649,1.17084
2020-09-21,1.17618,1.17730,1.16934,1.17680
2020-09-20,1.18455,1.18730,1.17327,1.18455
2020-09-17,1.18525,1.18710,1.18312,1.18482
2020-09-16,1.18043,1.18301,1.17416,1.18034
2020-09-15,1.18427,1.18830,1.18146,1.18444
2020-09-14,1.18669,1.19010,1.18415,1.18700
2020-09-13,1.18436,1.18880,1.18331,1.18427
2020-09-10,1.18262,1.18765,1.18259,1.18244
2020-09-09,1.18064,1.19147,1.18029,1.18064
2020-09-08,1.17691,1.18305,1.17536,1.17702
2020-09-07,1.18192,1.18287,1.17672,1.18217
2020-09-06,1.18366,1.18486,1.18138,1.18345
2020-09-03,1.18437,1.18635,1.17817,1.18398
2020-09-02,1.18460,1.18481,1.17897,1.18474
2020-09-01,1.19231,1.19243,1.18241,1.19232
2020-08-31,1.19392,1.20113,1.19373,1.19390
2020-08-30,1.19165,1.19636,1.18851,1.19182
2020-08-27,1.18205,1.19204,1.18119,1.18196
2020-08-26,1.18402,1.18985,1.17662,1.18427
2020-08-25,1.18333,1.18399,1.17761,1.18350
2020-08-24,1.17952,1.18441,1.17848,1.17945
2020-08-23,1.17991,1.18525,1.17862,1.17980
2020-08-20,1.18708,1.18864,1.17549,1.18737
2020-08-19,1.18417,1.18684,1.18065,1.18435
2020-08-18,1.19473,1.19546,1.18934,1.19479
2020-08-17,1.18793,1.19652,1.18754,1.18765
2020-08-16,1.18504,1.18807,1.18304,1.18525
2020-08-13,1.18189,1.18380,1.17847,1.18166
2020-08-12,1.17965,1.18640,1.17947,1.17938
2020-08-11,1.17399,1.18127,1.17130,1.17365
2020-08-10,1.17376,1.18050,1.17232,1.17378
2020-08-09,1.17824,1.18020,1.17430,1.17827
2020-08-06,1.18751,1.18835,1.17565,1.18765
2020-08-05,1.18737,1.19118,1.18207,1.18728
2020-08-04,1.18149,1.19053,1.18000,1.18154
2020-08-03,1.17606,1.18050,1.17241,1.17633
2020-08-02,1.17841,1.17876,1.17014,1.17823
2020-07-30,1.18737,1.19080,1.18026,1.18722
2020-07-29,1.17869,1.18074,1.17327,1.17829
2020-07-28,1.17206,1.17790,1.17149,1.17188
2020-07-27,1.17665,1.17758,1.17010,1.17693
2020-07-26,1.16526,1.17795,1.16526,1.16526
2020-07-23,1.15950,1.16401,1.15817,1.15961
2020-07-22,1.15667,1.16243,1.15421,1.15687
2020-07-21,1.15351,1.16009,1.15085,1.15340
2020-07-20,1.14576,1.14980,1.14262,1.14587
2020-07-19,1.14396,1.14679,1.14052,1.14430
2020-07-16,1.13865,1.14417,1.13789,1.13921
2020-07-15,1.14173,1.14430,1.13795,1.14172
2020-07-14,1.14108,1.14530,1.13935,1.14107
2020-07-13,1.13458,1.14071,1.13263,1.13455
2020-07-12,1.13088,1.13705,1.13045,1.13100
2020-07-09,1.12892,1.13248,1.12572,1.12880
2020-07-08,1.13379,1.13727,1.12880,1.13392
2020-07-07,1.12728,1.13456,1.12652,1.12752
2020-07-06,1.13103,1.13366,1.12604,1.13129
2020-07-05,1.12488,1.13469,1.12488,1.12472
2020-07-02,1.12397,1.12511,1.12211,1.12379
2020-07-01,1.12534,1.13033,1.12278,1.12514
2020-06-30,1.12337,1.12746,1.11892,1.12359
2020-06-29,1.12471,1.12616,1.11923,1.12472
2020-06-28,1.12241,1.12892,1.12206,1.12259
2020-06-25,1.12208,1.12390,1.11978,1.12221
2020-06-24,1.12514,1.12600,1.11914,1.12509
2020-06-23,1.13136,1.13263,1.12599,1.13123
2020-06-22,1.12771,1.13490,1.12343,1.12797
2020-06-21,1.11794,1.12677,1.11756,1.11776
2020-06-18,1.12072,1.12530,1.11739,1.12110
2020-06-17,1.12413,1.12625,1.12046,1.12429
2020-06-16,1.12649,1.12969,1.12103,1.12657
2020-06-15,1.13380,1.13498,1.12317,1.13377
2020-06-14,1.12542,1.12920,1.12288,1.12520
2020-06-11,1.12894,1.13398,1.12347,1.12881
2020-06-10,1.13687,1.14002,1.13261,1.13654
2020-06-09,1.13341,1.13889,1.13341,1.13322
2020-06-08,1.13029,1.13634,1.12437,1.13056
2020-06-07,1.13161,1.13187,1.12695,1.13195
2020-06-04,1.13372,1.13840,1.12857,1.13379
2020-06-03,1.12372,1.13605,1.11959,1.12359
2020-06-02,1.11857,1.12500,1.11810,1.11894
2020-06-01,1.11256,1.11957,1.11157,1.11260
2020-05-31,1.11146,1.11520,1.11015,1.11185
2020-05-28,1.10781,1.11447,1.10704,1.10791
2020-05-27,1.10153,1.10719,1.09931,1.10169
2020-05-26,1.09806,1.10299,1.09366,1.09818
2020-05-25,1.09011,1.09916,1.08984,1.09030
2020-05-24,1.09091,1.09146,1.08720,1.09078
2020-05-21,1.09524,1.09553,1.08861,1.09529
2020-05-20,1.09794,1.10087,1.09395,1.09830
2020-05-19,1.09302,1.09990,1.09292,1.09278
2020-05-18,1.09158,1.09751,1.09028,1.09151
2020-05-17,1.08195,1.09127,1.08009,1.08213
2020-05-14,1.08062,1.08495,1.07909,1.08070
2020-05-13,1.08219,1.08248,1.07766,1.08237
2020-05-12,1.08463,1.08934,1.08314,1.08468
2020-05-11,1.08092,1.08804,1.07854,1.08094
2020-05-10,1.08401,1.08530,1.08043,1.08395
2020-05-07,1.08369,1.08733,1.08163,1.08372
2020-05-06,1.08005,1.08157,1.07675,1.07986
2020-05-05,1.08401,1.08448,1.07842,1.08386
2020-05-04,1.09045,1.09213,1.08270,1.09043
2020-05-03,1.09575,1.09578,1.09013,1.09596
2020-04-30,1.09448,1.10163,1.09354,1.09455
2020-04-29,1.08767,1.09700,1.08356,1.08773
2020-04-28,1.08324,1.08743,1.08317,1.08366
2020-04-27,1.08272,1.08897,1.08113,1.08248
2020-04-26,1.08237,1.08604,1.08122,1.08237
2020-04-23,1.07763,1.08177,1.07277,1.07770
2020-04-22,1.08068,1.08440,1.07584,1.08096
2020-04-21,1.08574,1.08832,1.08243,1.08565
2020-04-20,1.08635,1.08800,1.08180,1.08648
2020-04-19,1.08663,1.08970,1.08431,1.08670
2020-04-16,1.08601,1.08933,1.08127,1.08585
2020-04-15,1.09038,1.09077,1.08297,1.09051
2020-04-14,1.09824,1.09890,1.08577,1.09854
2020-04-13,1.09195,1.09839,1.09157,1.09230
2020-04-12,1.09313,1.09685,1.08936,1.09327
2020-04-09,1.09260,1.09541,1.09211,1.09274
2020-04-08,1.08612,1.09435,1.08418,1.08637
2020-04-07,1.08943,1.08962,1.08318,1.08951
2020-04-06,1.08019,1.09234,1.07914,1.08038
2020-04-05,1.08082,1.08343,1.07692,1.08070
2020-04-02,1.08439,1.08589,1.07762,1.08474
2020-04-01,1.09510,1.09630,1.08443,1.09536
2020-03-31,1.10282,1.10375,1.09187,1.10266
