Date,Open,High,Low,Close
2020-01-01,1.32505,1.32679,1.31251,1.32503
2019-12-31,1.32540,1.32710,1.32188,1.32626
2019-12-30,1.31165,1.32820,1.31096,1.31130
2019-12-29,1.30914,1.31527,1.30876,1.30919
2019-12-26,1.30029,1.31182,1.29722,1.30022
2019-12-25,1.29719,1.30157,1.29613,1.29735
2019-12-24,1.29349,1.29870,1.29230,1.29349
2019-12-23,1.29445,1.29695,1.29231,1.29450
2019-12-22,1.30052,1.30325,1.29071,1.30054
2019-12-19,1.30164,1.30784,1.30083,1.30174
2019-12-18,1.30847,1.31296,1.29966,1.30873
2019-12-17,1.31221,1.31256,1.30623,1.31221
2019-12-16,1.32717,1.33049,1.31041,1.32725
2019-12-15,1.33552,1.34171,1.33262,1.33533
2019-12-12,1.34765,1.35099,1.33096,1.34753
2019-12-11,1.32004,1.32293,1.31165,1.32001
2019-12-10,1.31322,1.31871,1.31132,1.31313
2019-12-09,1.31460,1.31888,1.31346,1.31458
2019-12-08,1.31441,1.31804,1.31371,1.31396
2019-12-05,1.31586,1.31652,1.31019,1.31584
2019-12-04,1.31105,1.31666,1.31062,1.31113
2019-12-03,1.29970,1.31199,1.29845,1.29978
2019-12-02,1.29384,1.30081,1.29314,1.29406
2019-12-01,1.29112,1.29433,1.28981,1.29129
2019-11-28,1.29107,1.29433,1.28819,1.29129
2019-11-27,1.29308,1.29517,1.29012,1.29299
2019-11-26,1.28593,1.28927,1.28282,1.28609
2019-11-25,1.28976,1.29049,1.28384,1.28972
2019-11-24,1.28510,1.29132,1.28419,1.28535
2019-11-21,1.29192,1.29299,1.28268,1.29199
2019-11-20,1.29269,1.29702,1.29001,1.29271
2019-11-19,1.29289,1.29289,1.28917,1.29295
2019-11-18,1.29497,1.29719,1.29254,1.29509
2019-11-17,1.29197,1.29821,1.29166,1.29212
2019-11-14,1.28828,1.29174,1.28692,1.28818
2019-11-13,1.28520,1.28916,1.28259,1.28538
2019-11-12,1.28535,1.28601,1.28249,1.28521
2019-11-11,1.28545,1.28684,1.28172,1.28584
2019-11-10,1.27966,1.28917,1.27867,1.27964
2019-11-07,1.28115,1.28222,1.27698,1.27800
2019-11-06,1.28566,1.28771,1.27962,1.28568
2019-11-05,1.28783,1.28977,1.28677,1.28806
2019-11-04,1.28869,1.29146,1.28611,1.28916
2019-11-03,1.29400,1.29450,1.29012,1.29376
2019-10-31,1.29386,1.29735,1.29348,1.29396
2019-10-30,1.29029,1.29754,1.29029,1.29017
2019-10-29,1.28667,1.29046,1.28589,1.28667
2019-10-28,1.28574,1.29047,1.28098,1.28574
2019-10-27,1.28286,1.28751,1.28123,1.28320
2019-10-24,1.28409,1.28602,1.28052,1.28403
2019-10-23,1.29209,1.29478,1.28080,1.29232
2019-10-22,1.28848,1.28949,1.28426,1.28848
2019-10-21,1.29715,1.29887,1.28941,1.29717
2019-10-20,1.29027,1.30127,1.28907,1.29002
2019-10-17,1.28670,1.29149,1.28408,1.28686
2019-10-16,1.28200,1.29784,1.27557,1.28238
2019-10-15,1.27592,1.28617,1.26682,1.27606
2019-10-14,1.26091,1.27895,1.26037,1.26118
2019-10-13,1.26110,1.26467,1.25222,1.26190
2019-10-10,1.24316,1.27004,1.24301,1.24332
2019-10-09,1.22127,1.23848,1.22096,1.22130
2019-10-08,1.22208,1.22832,1.22003,1.22196
2019-10-07,1.22888,1.23032,1.21993,1.22880
2019-10-06,1.23350,1.23381,1.22895,1.23344
2019-10-03,1.23399,1.23579,1.22775,1.23423
2019-10-02,1.23053,1.24127,1.22669,1.23044
2019-10-01,1.22932,1.23178,1.22287,1.22923
2019-09-30,1.22906,1.23138,1.22106,1.22900
2019-09-29,1.22929,1.23439,1.22849,1.22932
2019-09-26,1.23305,1.23365,1.22731,1.23320
2019-09-25,1.23593,1.23808,1.23050,1.23596
2019-09-24,1.24859,1.24878,1.23568,1.24859
2019-09-23,1.24357,1.25022,1.24156,1.24346
2019-09-22,1.24708,1.24917,1.24153,1.24719
2019-09-19,1.25266,1.25831,1.24648,1.25250
2019-09-18,1.24701,1.24986,1.24425,1.24705
2019-09-17,1.25031,1.25063,1.24414,1.25027
2019-09-16,1.24273,1.24953,1.23947,1.24285
2019-09-15,1.24984,1.24984,1.24020,1.24973
2019-09-12,1.23305,1.24704,1.23286,1.23294
2019-09-11,1.23352,1.23593,1.22864,1.23347
2019-09-10,1.23531,1.23712,1.23229,1.23548
2019-09-09,1.23464,1.23752,1.23084,1.23454
2019-09-08,1.22870,1.23811,1.22369,1.22830
2019-09-05,1.23259,1.23442,1.22889,1.23239
2019-09-04,1.22454,1.23533,1.22130,1.22489
2019-09-03,1.20919,1.22205,1.20868,1.20904
2019-09-02,1.20653,1.21024,1.19594,1.20667
2019-09-01,1.21594,1.21758,1.20391,1.21592
2019-08-29,1.21853,1.22237,1.21622,1.21865
2019-08-28,1.22175,1.22311,1.21846,1.22185
2019-08-27,1.22822,1.22895,1.21637,1.22832
2019-08-26,1.22216,1.23053,1.22100,1.22219
2019-08-25,1.22620,1.22838,1.22094,1.22624
2019-08-22,1.22514,1.22779,1.21965,1.22519
2019-08-21,1.21315,1.22698,1.21096,1.21322
2019-08-20,1.21653,1.21758,1.21148,1.21623
2019-08-19,1.21297,1.21672,1.20670,1.21315
2019-08-18,1.21598,1.21727,1.21058,1.21610
2019-08-15,1.20922,1.21773,1.20831,1.20916
2019-08-14,1.20604,1.21426,1.20511,1.20604
2019-08-13,1.20642,1.20999,1.20467,1.20642
2019-08-12,1.20802,1.20976,1.20436,1.20788
2019-08-11,1.20220,1.21007,1.20192,1.20220
2019-08-08,1.21448,1.21477,1.20573,1.21437
2019-08-07,1.21417,1.21832,1.20978,1.21433
2019-08-06,1.21723,1.21914,1.21222,1.21697
2019-08-05,1.21561,1.22097,1.21429,1.21582
2019-08-04,1.21492,1.21881,1.21032,1.21521
2019-08-01,1.21272,1.21449,1.20918,1.21243
2019-07-31,1.21547,1.21547,1.20820,1.21538
2019-07-30,1.21579,1.22468,1.21473,1.21616
2019-07-29,1.22175,1.22202,1.21211,1.22175
2019-07-28,1.23778,1.23839,1.22160,1.23767
2019-07-25,1.24538,1.24595,1.23778,1.24534
2019-07-24,1.24856,1.25180,1.24653,1.24859
2019-07-23,1.24378,1.25213,1.24295,1.24391
2019-07-22,1.24730,1.24818,1.24204,1.24749
2019-07-21,1.25103,1.25156,1.24576,1.25128
2019-07-18,1.25439,1.25549,1.24964,1.25419
2019-07-17,1.24350,1.24955,1.24291,1.24347
2019-07-16,1.24088,1.24394,1.23834,1.24120
2019-07-15,1.25204,1.25204,1.23974,1.25180
2019-07-14,1.25723,1.25764,1.25119,1.25720
2019-07-11,1.25227,1.25627,1.25227,1.25235
2019-07-10,1.25063,1.25723,1.25063,1.25081
2019-07-09,1.24573,1.25211,1.24452,1.24586
2019-07-08,1.25188,1.25204,1.24412,1.25164
2019-07-07,1.25262,1.25408,1.25012,1.25255
2019-07-04,1.25834,1.25870,1.24830,1.25831
2019-07-03,1.25838,1.25929,1.25706,1.25827
2019-07-02,1.25976,1.26024,1.25589,1.25983
2019-07-01,1.26441,1.26486,1.25864,1.26446
2019-06-30,1.26937,1.27081,1.26330,1.26945
2019-06-27,1.26740,1.27341,1.26661,1.26775
2019-06-26,1.26957,1.27243,1.26669,1.26984
2019-06-25,1.26908,1.27070,1.26642,1.26907
2019-06-24,1.27395,1.27840,1.27125,1.27397
2019-06-23,1.27506,1.27667,1.27110,1.27509
2019-06-20,1.27055,1.27244,1.26449,1.27079
2019-06-19,1.26537,1.27257,1.26537,1.26566
2019-06-18,1.25664,1.26385,1.25455,1.25666
2019-06-17,1.25406,1.25609,1.25072,1.25415
2019-06-16,1.25945,1.26056,1.25552,1.25960
2019-06-13,1.26799,1.26839,1.25902,1.26801
2019-06-12,1.26936,1.27057,1.26650,1.26934
2019-06-11,1.27231,1.27587,1.26884,1.27244
2019-06-10,1.26921,1.27277,1.26730,1.26912
2019-06-09,1.27226,1.27291,1.26561,1.27230
2019-06-06,1.26984,1.27618,1.26894,1.26984
2019-06-05,1.26868,1.27419,1.26696,1.26886
2019-06-04,1.27037,1.27441,1.26933,1.27028
2019-06-03,1.26630,1.27058,1.26446,1.26642
2019-06-02,1.26405,1.26582,1.26130,1.26395
2019-05-30,1.26070,1.26365,1.25601,1.26097
2019-05-29,1.26294,1.26406,1.25840,1.26294
2019-05-28,1.26598,1.26696,1.26126,1.26597
2019-05-27,1.26809,1.27000,1.26558,1.26823
2019-05-26,1.27228,1.27486,1.26683,1.27248
2019-05-23,1.26646,1.27171,1.26494,1.26646
2019-05-22,1.26634,1.26834,1.26059,1.26642
2019-05-20,1.27278,1.27943,1.26862,1.27291
2019-05-19,1.27303,1.27575,1.27168,1.27316
2019-05-16,1.27979,1.27992,1.27214,1.27977
2019-05-15,1.28459,1.28551,1.27903,1.28475
2019-05-14,1.29061,1.29226,1.28291,1.29066
2019-05-13,1.29639,1.29719,1.29092,1.29631
2019-05-12,1.30090,1.30409,1.29509,1.30107
2019-05-09,1.30098,1.30463,1.29931,1.30096
2019-05-08,1.30141,1.30261,1.29683,1.30120
2019-05-07,1.30683,1.30822,1.29911,1.30688
2019-05-06,1.30974,1.31296,1.30421,1.30993
2019-05-05,1.31505,1.31505,1.30827,1.31506
2019-05-02,1.30317,1.31770,1.29916,1.30332
2019-05-01,1.30548,1.30801,1.30190,1.30531
2019-04-30,1.30407,1.30924,1.30353,1.30398
2019-04-29,1.29318,1.30461,1.29279,1.29324
2019-04-28,1.29211,1.29467,1.29059,1.29202
2019-04-25,1.28977,1.29433,1.28883,1.28961
2019-04-24,1.29039,1.29167,1.28670,1.29049
2019-04-23,1.29388,1.29634,1.29167,1.29381
2019-04-22,1.29820,1.30188,1.29294,1.29815
2019-04-21,1.29938,1.30005,1.29769,1.29938
2019-04-18,1.29938,1.30100,1.29887,1.29944
2019-04-17,1.30393,1.30524,1.29977,1.30393
2019-04-16,1.30446,1.30680,1.30319,1.30463
2019-04-15,1.30991,1.31044,1.30451,1.31027
2019-04-14,1.30847,1.31199,1.30806,1.30839
2019-04-11,1.30547,1.31303,1.30514,1.30560
2019-04-10,1.30976,1.31096,1.30644,1.30993
2019-04-09,1.30531,1.31039,1.30494,1.30572
2019-04-08,1.30618,1.31167,1.30341,1.30634
2019-04-07,1.30371,1.30719,1.30353,1.30381
2019-04-04,1.30734,1.31194,1.30058,1.30770
2019-04-03,1.31784,1.31909,1.30685,1.31770
2019-04-02,1.31254,1.31961,1.31239,1.31277
2019-04-01,1.30693,1.30839,1.30168,1.30690
2019-03-31,1.30218,1.31479,1.30115,1.30229
2019-03-28,1.30541,1.31284,1.29804,1.30565
2019-03-27,1.31529,1.31996,1.30763,1.31527
2019-03-26,1.32104,1.32461,1.31679,1.32114
2019-03-25,1.32081,1.32615,1.31648,1.32153
2019-03-24,1.32065,1.32457,1.31629,1.32065
