Date,Open,High,Low,Close
2020-01-01,0.00920,0.00924,0.00919,0.00920
2019-12-31,0.00920,0.00921,0.00898,0.00920
2019-12-30,0.00919,0.00922,0.00919,0.00919
2019-12-29,0.00914,0.00919,0.00914,0.00914
2019-12-26,0.00913,0.00914,0.00912,0.00913
2019-12-25,0.00914,0.00914,0.00912,0.00914
2019-12-24,0.00914,0.00915,0.00911,0.00914
2019-12-23,0.00914,0.00915,0.00914,0.00914
2019-12-22,0.00913,0.00915,0.00913,0.00913
2019-12-19,0.00914,0.00915,0.00913,0.00914
2019-12-18,0.00913,0.00916,0.00912,0.00913
2019-12-17,0.00913,0.00914,0.00912,0.00913
2019-12-16,0.00913,0.00914,0.00912,0.00913
2019-12-15,0.00914,0.00915,0.00912,0.00914
2019-12-12,0.00914,0.00916,0.00912,0.00914
2019-12-11,0.00921,0.00922,0.00915,0.00921
2019-12-10,0.00919,0.00920,0.00919,0.00919
2019-12-09,0.00921,0.00921,0.00920,0.00921
2019-12-08,0.00921,0.00922,0.00921,0.00921
2019-12-05,0.00920,0.00921,0.00918,0.00920
2019-12-04,0.00919,0.00920,0.00918,0.00919
2019-12-03,0.00920,0.00922,0.00918,0.00920
2019-12-02,0.00917,0.00922,0.00916,0.00917
2019-12-01,0.00913,0.00917,0.00911,0.00913
2019-11-28,0.00913,0.00914,0.00912,0.00913
2019-11-27,0.00914,0.00915,0.00913,0.00914
2019-11-26,0.00917,0.00917,0.00914,0.00917
2019-11-25,0.00918,0.00919,0.00916,0.00918
2019-11-24,0.00920,0.00920,0.00918,0.00920
2019-11-21,0.00921,0.00922,0.00920,0.00921
2019-11-20,0.00922,0.00924,0.00920,0.00922
2019-11-19,0.00922,0.00923,0.00920,0.00922
2019-11-18,0.00920,0.00922,0.00919,0.00920
2019-11-17,0.00920,0.00921,0.00917,0.00920
2019-11-14,0.00922,0.00922,0.00919,0.00922
2019-11-13,0.00919,0.00924,0.00919,0.00919
2019-11-12,0.00918,0.00920,0.00916,0.00918
2019-11-11,0.00917,0.00918,0.00915,0.00917
2019-11-10,0.00916,0.00918,0.00915,0.00915
2019-11-07,0.00915,0.00917,0.00914,0.00915
2019-11-06,0.00918,0.00920,0.00914,0.00918
2019-11-05,0.00916,0.00919,0.00916,0.00916
2019-11-04,0.00920,0.00920,0.00916,0.00920
2019-11-03,0.00924,0.00924,0.00921,0.00924
2019-10-31,0.00926,0.00927,0.00924,0.00926
2019-10-30,0.00919,0.00925,0.00919,0.00919
2019-10-29,0.00918,0.00919,0.00918,0.00919
2019-10-28,0.00918,0.00919,0.00917,0.00918
2019-10-27,0.00920,0.00920,0.00917,0.00920
2019-10-24,0.00921,0.00921,0.00920,0.00921
2019-10-23,0.00921,0.00922,0.00920,0.00920
2019-10-22,0.00922,0.00924,0.00920,0.00922
2019-10-21,0.00921,0.00922,0.00920,0.00921
2019-10-20,0.00923,0.00923,0.00920,0.00922
2019-10-17,0.00921,0.00922,0.00920,0.00921
